name,price,description,characteristics
Краска для садовых деревьев РЕЛЬЕФ (2.5кг),"['140', '₽', '/шт']","Краска для садовых деревьев Рельеф. Применяется для защиты коры деревьев от солнечных ожогов и УФ-излучений, а также защиты стволов и ветвей садовых деревьев, кустарников от повреждений грызунами, насекомыми; для лечения и профилактики грибковых и бактериальных заболеваний; для повышения стойкости к морозам и резким температурным перепадам. Обработку рекомендуется проводить 2 раза в год. Основная окраска стволов деревьев проводится в октябре-ноябре, после опадания листьев. Повторная, от солнечных ожогов, в конце февраля - начале апреля до распускаяния почек. ПРИМЕНЕНИЕ Работы проводить в сухую погоду. Перед окраской очистить ствол и основания нижних скелетных ветвей от мхов, лишайников и старой отслоившейся коры. Во избежание травмирования коры, очистку проводить руками в садовых матерчатых перчатках, желательно во влажную погоду. Трещинки и углубления очистить заостренной щепочкой. Раны заделать садовым варом, пастой или глиной. При необходимости нужное количество краски развести водой до сметанообразной консистенции, тщательно перемешать. Краску наносить валиком или кистью в один слой на стволы и нижние скелетные ветки примерно 1/3 их длины. Не наносить при температуре ниже +5°C. СОСТАВ: известь, антибактериальные компоненты, антигрибковые компоненты, ранозаживляющие добавки, очищенная природная глина.","{'Тип работ': 'наружные работы', 'Область применения': 'для садовых деревьев', 'Степень блеска поверхности': 'матовая', 'Способ нанесения': 'кисть\xa0/\xa0валик', 'Разбавитель (растворитель)': 'вода', 'Тип поверхности': 'дерево', 'Состав,': 'мел', 'Бренд': 'РЕЛЬЕФ', 'Страна производителя': 'РОССИЯ', 'Цвет': 'белый', 'Время полного высыхания (ч)': '8', 'Расход (1 слой), (г/кв.м)': '100-150', 'Температура применения, (град. C)': 'не ниже +5', 'Рекомендованное количество слоев покрытия': '1'}"
Грунт-эмаль аэрозольная Kudo для пластика RAL 8017 Коричневая 0.52 л,"['330', '₽', '/шт']","Грунт-эмаль аэрозольная Kudo для пластика RAL 8017 коричневая. Образует прочное покрытие, которое не трескается даже в условиях низких температур. Хорошая адгезия, укрывистость, устойчивость к атмосферным воздействиям. Сохраняет свою эластичность после высыхания. Не требует предварительного грунтования. В составе содержатся компоненты, повышающие устойчивость лакокрасочного покрытия к механическим воздействиям и истиранию. Особенности применения Для наружных и внутренних работ. Предназначена для декоративной окраски поверхностей из большинства пластмасс (пластиковые детали интерьера, мебель, садовый инвентарь и т. д.), за исключением полиэтилена и полиуретана. Технология нанесения Чтобы при работе аэрозоль не попал на прилегающие поверхности, их нужно защитить. Для достижения наилучших результатов грунт-эмаль наносится при температуре окружающей среды не ниже +10°С. Перед использованием баллон нужно активно встряхнуть в течение 1 — 2 минут. Перед обработкой пластиковая поверхность подготавливается. Она должна быть чистой, сухой. При необходимости делается обезжиривание. Для подготовки поверхности рекомендуется использовать удалитель силикона KUDO. Наносится грунт-эмаль с расстояния в 25 — 30 см равномерным слоем. При температуре +20°С на его высыхание уйдет около 20 минут. По окончании работы во избежание засорения головки распылителя перевернуть баллон вверх дном и распылять до тех пор, пока не перестанет поступать состав. Техника безопасности Хранение продукции осуществляется в месте, защищенном от внешних воздействий, удаленном от источников огня и тепла, недоступном для детей. Грунтование выполнять с использованием средств индивидуальной защиты. Рядом с местом распыления не должно быть огня в любых его проявлениях. Пары продукта не вдыхать, избегать контакта с открытыми участками кожи, попаданий в глаза. В экстренной ситуации обратиться за помощью к врачу.","{'Тип работ': 'внутренние работы\xa0/\xa0наружные работы', 'Способ нанесения': 'через форсунку баллона', 'Тип поверхности': 'пластик / ПВХ', 'Колеровка': 'готовый цвет', 'Состав,': 'полиолефиновые смолы', 'Бренд': 'Kudo', 'Страна производителя': 'РОССИЯ', 'Цвет': 'коричневый', 'Артикул': 'KU-6011', 'Время полного высыхания (ч)': '2', 'Время высыхания на отлип, (ч)': '20 минут', 'Расход (1 слой), (г/кв.м)': 'примерно 2 м.кв/баллон', 'Температура применения, (град. C)': 'не ниже +10', 'Рекомендованное количество слоев покрытия': '1-2'}"
Эмаль аэрозольная Kudo для ванн и керамики белый,"['330', '₽', '/шт']","Эмаль аэрозольная Kudo для ванн и керамики. Цвет — белый. Удобная в использовании, легко наносится даже в труднодоступные места, укрывистая. Создает водостойкое, гладкое и прочное покрытие с превосходной адгезией к поверхности. Позволяет значительно продлить срок эксплуатации старой ванны. В составе эмали использованы следующие компоненты: модифицированная алкидная смола, пигменты, наполнители, функциональные добавки, ксилол, метилацетат, бутанол, пропан, бутан. Особенности применения Эмаль предназначена для косметической ремонтной окраски эмалированных ванн и керамики. Поверхности для нанесения: металл, окрашенная поверхность, камень, силикатная эмаль, керамика. Технология нанесения Перед началом работ рекомендуется защитить прилегающие поверхности к месту окраски дабы избежать попадания на них аэрозоля. Для достижения наилучших результатов эмаль наносить при температуре окружающей среды не ниже +10°С. Перед применением баллон тщательно встряхнуть в течение 2 — 3 минут. Поверхность под покраску подготовить. Очистить от загрязнений, отшлифовать, обезжирить при необходимости. Для последнего действия рекомендуется использовать Удалитель силикона KUDO. Распыление осуществляется с расстояния 25 — 30 см. Покрытие создается толщиной в 2 — 3 слоя. Длительно промежуточной сушки при температуре +20°С составляет 10 — 15 минут. Полное высыхание покрытия при тех же условиях займет 24 часа. Эксплуатация отреставрированной ванны допускается не ранее, чем через 72 часа после нанесения покрытия. Техника безопасности Хранить продукцию в месте, защищенном от внешних воздействий, удаленном от источников огня и недоступном для детей. Окрашивание производить только с использованием средств индивидуальной защиты. Помещение во время работы проветривать, пары не вдыхать. В экстренной ситуации обратиться к врачу.","{'Область применения': 'для сантехнических приборов', 'Степень блеска поверхности': 'глянцевая', 'Тип поверхности': 'керамика\xa0/\xa0металл', 'Колеровка': 'готовый цвет', 'Состав,': 'алкидный', 'Готовность к применению': 'готов к применению', 'Бренд': 'Kudo', 'Страна производителя': 'РОССИЯ', 'Цвет': 'белый', 'Артикул': 'KU-1301', 'Способ нанесения': 'через форсунку баллона', 'Время полного высыхания (ч)': '24', 'Время высыхания на отлип, (ч)': '2', 'Расход (1 слой), (г/кв.м)': 'примерно 2 м.кв/баллон', 'Температура применения, (град. C)': 'не ниже +10', 'Рекомендованное количество слоев покрытия': '2-3', 'Время высыхания между слоями (ч)': '15 минут', 'Поверхность готова к нагрузке (ч)': '72'}"
Грунт-эмаль аэрозольная Kudo для пластика RAL 9003 Белая 0.52 л,"['330', '₽', '/шт']","Грунт-эмаль аэрозольная Kudo для пластика RAL 8017 белая. Образует прочное покрытие, которое не трескается даже в условиях низких температур. Хорошая адгезия, укрывистость, устойчивость к атмосферным воздействиям. Сохраняет свою эластичность после высыхания. Не требует предварительного грунтования. В составе содержатся компоненты, повышающие устойчивость лакокрасочного покрытия к механическим воздействиям и истиранию. Особенности применения Для наружных и внутренних работ. Предназначена для декоративной окраски поверхностей из большинства пластмасс (пластиковые детали интерьера, мебель, садовый инвентарь и т. д.), за исключением полиэтилена и полиуретана. Технология нанесения Чтобы при работе аэрозоль не попал на прилегающие поверхности, их нужно защитить. Для достижения наилучших результатов грунт-эмаль наносится при температуре окружающей среды не ниже +10°С. Перед использованием баллон нужно активно встряхнуть в течение 1 — 2 минут. Перед обработкой пластиковая поверхность подготавливается. Она должна быть чистой, сухой. При необходимости делается обезжиривание. Для подготовки поверхности рекомендуется использовать удалитель силикона KUDO. Наносится грунт-эмаль с расстояния в 25 — 30 см равномерным слоем. При температуре +20°С на его высыхание уйдет около 20 минут. По окончании работы во избежание засорения головки распылителя перевернуть баллон вверх дном и распылять до тех пор, пока не перестанет поступать состав. Техника безопасности Хранение продукции осуществляется в месте, защищенном от внешних воздействий, удаленном от источников огня и тепла, недоступном для детей. Грунтование выполнять с использованием средств индивидуальной защиты. Рядом с местом распыления не должно быть огня в любых его проявлениях. Пары продукта не вдыхать, избегать контакта с открытыми участками кожи, попаданий в глаза. В экстренной ситуации обратиться за помощью к врачу.","{'Тип работ': 'внутренние работы\xa0/\xa0наружные работы', 'Способ нанесения': 'через форсунку баллона', 'Тип поверхности': 'пластик / ПВХ', 'Колеровка': 'готовый цвет', 'Состав,': 'полиолефиновые смолы', 'Бренд': 'Kudo', 'Страна производителя': 'РОССИЯ', 'Цвет': 'белый', 'Артикул': 'KU-6003', 'Время полного высыхания (ч)': '2', 'Время высыхания на отлип, (ч)': '20 минут', 'Расход (1 слой), (г/кв.м)': 'примерно 2 м.кв/баллон', 'Температура применения, (град. C)': 'не ниже +10', 'Рекомендованное количество слоев покрытия': '1-2'}"
Грунт-эмаль аэрозольная Kudo для пластика RAL 9005 Черная 0.52 л,"['330', '₽', '/шт']","Грунт-эмаль аэрозольная Kudo для пластика RAL 8017 черная. Образует прочное покрытие, которое не трескается даже в условиях низких температур. Хорошая адгезия, укрывистость, устойчивость к атмосферным воздействиям. Сохраняет свою эластичность после высыхания. Не требует предварительного грунтования. В составе содержатся компоненты, повышающие устойчивость лакокрасочного покрытия к механическим воздействиям и истиранию. Особенности применения Для наружных и внутренних работ. Предназначена для декоративной окраски поверхностей из большинства пластмасс (пластиковые детали интерьера, мебель, садовый инвентарь и т. д.), за исключением полиэтилена и полиуретана. Технология нанесения Чтобы при работе аэрозоль не попал на прилегающие поверхности, их нужно защитить. Для достижения наилучших результатов грунт-эмаль наносится при температуре окружающей среды не ниже +10°С. Перед использованием баллон нужно активно встряхнуть в течение 1 — 2 минут. Перед обработкой пластиковая поверхность подготавливается. Она должна быть чистой, сухой. При необходимости делается обезжиривание. Для подготовки поверхности рекомендуется использовать удалитель силикона KUDO. Наносится грунт-эмаль с расстояния в 25 — 30 см равномерным слоем. При температуре +20°С на его высыхание уйдет около 20 минут. По окончании работы во избежание засорения головки распылителя перевернуть баллон вверх дном и распылять до тех пор, пока не перестанет поступать состав. Техника безопасности Хранение продукции осуществляется в месте, защищенном от внешних воздействий, удаленном от источников огня и тепла, недоступном для детей. Грунтование выполнять с использованием средств индивидуальной защиты. Рядом с местом распыления не должно быть огня в любых его проявлениях. Пары продукта не вдыхать, избегать контакта с открытыми участками кожи, попаданий в глаза. В экстренной ситуации обратиться за помощью к врачу.","{'Тип работ': 'внутренние работы\xa0/\xa0наружные работы', 'Способ нанесения': 'через форсунку баллона', 'Тип поверхности': 'пластик / ПВХ', 'Колеровка': 'готовый цвет', 'Состав,': 'полиолефиновые смолы', 'Бренд': 'Kudo', 'Страна производителя': 'РОССИЯ', 'Цвет': 'черный', 'Артикул': 'KU-6002', 'Время полного высыхания (ч)': '2', 'Время высыхания на отлип, (ч)': '20 минут', 'Расход (1 слой), (г/кв.м)': 'примерно 2 м.кв/баллон', 'Температура применения, (град. C)': 'не ниже +10', 'Рекомендованное количество слоев покрытия': '1-2'}"
Эмаль Hobby для керамики белый 0.007 л,"['230', '₽', '/шт']","Эмаль для керамики Hobby. Цвет — белый. Простая в применении, легко наносится без подтеков и разводов. Обладает хорошей влагостойкостью и имеет в составе светостойкие пигменты, поэтому со временем не теряет своего цвета. Особенности применения Эмаль предназначена для ретуширования и реставрации керамических поверхностей. Применяется на различных типах керамической плитки, а также сантехнических изделиях - ваннах, раковинах и т.п. Может использоваться как снаружи, так и внутри помещения. Технология нанесения Поверхность под покраску подготавливается. Она должна быть чистой, сухой, без жирных пятен. Оптимальный инструмент для работы — традиционная кисть. Наносится состав непосредственно на проблемные места, где находятся сколы, царапины, трещины и другие дефекты. После обработанному месту требуется время на высыхание. Техника безопасности Хранение продукции осуществляется в сухом месте, защищенном от внешних воздействий, недоступном для детей. Окрашивание проводить только с использованием средств защиты. Избегать контакта эмали с открытыми участками кожи, попадания в глаза. Не принимать внутрь. В экстренной ситуации обратиться к врачу.","{'Тип работ': 'внутренние работы\xa0/\xa0наружные работы', 'Тип поверхности': 'керамика\xa0/\xa0металл\xa0/\xa0эмалированная поверхность', 'Колеровка': 'ручная', 'Состав,': 'нитроцеллюлоза', 'Готовность к применению': 'готов к применению', 'Бренд': 'Хобби', 'Страна производителя': 'ШВЕЦИЯ', 'Цвет': 'белый', 'Способ нанесения': 'кисть', 'Время полного высыхания (ч)': '2', 'Рекомендованное количество слоев покрытия': '1-2'}"
Грунт-эмаль аэрозольная Kudo для пластика RAL 7035 Светло-серая 0.52 л,"['320', '₽', '/шт']","Грунт-эмаль аэрозольная Kudo для пластика RAL 8017 светло-серая. Образует прочное покрытие, которое не трескается даже в условиях низких температур. Хорошая адгезия, укрывистость, устойчивость к атмосферным воздействиям. Сохраняет свою эластичность после высыхания. Не требует предварительного грунтования. В составе содержатся компоненты, повышающие устойчивость лакокрасочного покрытия к механическим воздействиям и истиранию. Особенности применения Для наружных и внутренних работ. Предназначена для декоративной окраски поверхностей из большинства пластмасс (пластиковые детали интерьера, мебель, садовый инвентарь и т. д.), за исключением полиэтилена и полиуретана. Технология нанесения Чтобы при работе аэрозоль не попал на прилегающие поверхности, их нужно защитить. Для достижения наилучших результатов грунт-эмаль наносится при температуре окружающей среды не ниже +10°С. Перед использованием баллон нужно активно встряхнуть в течение 1 — 2 минут. Перед обработкой пластиковая поверхность подготавливается. Она должна быть чистой, сухой. При необходимости делается обезжиривание. Для подготовки поверхности рекомендуется использовать удалитель силикона KUDO. Наносится грунт-эмаль с расстояния в 25 — 30 см равномерным слоем. При температуре +20°С на его высыхание уйдет около 20 минут. По окончании работы во избежание засорения головки распылителя перевернуть баллон вверх дном и распылять до тех пор, пока не перестанет поступать состав. Техника безопасности Хранение продукции осуществляется в месте, защищенном от внешних воздействий, удаленном от источников огня и тепла, недоступном для детей. Грунтование выполнять с использованием средств индивидуальной защиты. Рядом с местом распыления не должно быть огня в любых его проявлениях. Пары продукта не вдыхать, избегать контакта с открытыми участками кожи, попаданий в глаза. В экстренной ситуации обратиться за помощью к врачу.","{'Тип работ': 'внутренние работы\xa0/\xa0наружные работы', 'Способ нанесения': 'через форсунку баллона', 'Тип поверхности': 'пластик / ПВХ', 'Колеровка': 'готовый цвет', 'Состав,': 'полиолефиновые смолы', 'Бренд': 'Kudo', 'Страна производителя': 'РОССИЯ', 'Цвет': 'светло-серый', 'Артикул': 'KU-6005', 'Время полного высыхания (ч)': '2', 'Время высыхания на отлип, (ч)': '20 минут', 'Расход (1 слой), (г/кв.м)': 'примерно 2 м.кв/баллон', 'Температура применения, (град. C)': 'не ниже +10', 'Рекомендованное количество слоев покрытия': '1-2'}"
Эмаль термостойкая для мангалов аэрозоль Kudo черная KU-5122,"['380', '₽', '/шт']","Высококачественная кремнийорганическая термостойкая эмаль предназначена для окраски металлических изделий, подверженных нагреванию до температуры +800°С — мангалов, грилей, печей, каминов. Может применяться для окрашивания бойлеров, котлов, радиаторов. Не содержит свинца и ртути. Применяется для наружных и внутренних работ. Легко наносится на труднодоступные места, имеет хорошую укрывистость и атмосферостойкость. Применение: Во избежание попадания следов аэрозоля рекомендуется защищать поверхности, не подлежащие окраске. Для достижения наилучших результатов эмаль наносить при температуре окружающей среды не ниже +10°С. Не грунтовать! Грунт, в отличие от термостойкой эмали, не выдерживает высоких температур. Запрещается окрашивать горячие поверхности или детали! Необходимо предварительно охладить их до температуры окружающей среды во избежание воспламенения. При окраске изделий для приготовления пищи окрашивать только внешние поверхности! Перед использованием баллон энергично встряхивать в течение 2–3-х минут. Эмаль наносится с расстояния 25–30 см на предварительно очищенную от ржавчины, грязи, следов старой краски, обезжиренную, сухую поверхность в 1-2 слоя с промежуточной сушкой 10–15 минут при температуре +20°С. Время сушки «на отлип» при температуре +20°С не менее 10 минут. Время полного высыхания — 2 часа при температуре +20°С. Для обеспечения требуемых свойств необходимо через сутки или более после окраски провести термозакалку покрытия: ступенчато нагреть до температуры 250°С с задержкой в 5-10 минут на температурах 100°С и 200°С и поддерживать эту температуру не менее 30 минут. Нагревать изделие можно как в термошкафу, так и открытым пламенем газовой горелки или паяльной лампы. При достижении температуры 250°С покрытие начнет слегка дымиться, что является нормой и свидетельствует о том, что идет процесс термозакалки. Внимание! При первом использовании мангала выделяются дым и запах, которые в дальнейшем не выделяются. По окончании работы во избежание засорения головки распылителя перевернуть баллон вверх дном и распылять до тех пор, пока не перестанет поступать эмаль.","{'Тип работ': 'внутренние работы', 'Область применения': 'для жилых и офисных помещений', 'Степень блеска поверхности': 'матовая', 'Способ нанесения': 'вручную', 'Разбавитель (растворитель)': 'алкидный растворитель 2010', 'Тип поверхности': 'металл', 'Колеровка': 'нет', 'Состав,': 'алкидная смола', 'Бренд': 'Kudo', 'Страна производителя': 'РОССИЯ', 'Цвет': 'черный', 'Артикул': 'KU-5122', 'Время полного высыхания (ч)': '12', 'Время высыхания на отлип, (ч)': '1', 'Расход (1 слой), (г/кв.м)': '260', 'Температура применения, (град. C)': '+20', 'Рекомендованное количество слоев покрытия': '2-3'}"
Эмаль для радиаторов отопления KU-5102 Kudo белая матовая,"['320', '₽', '/шт']","Алкидная эмаль KUDO® предназначена для защитно-декоративной окраски систем отопления (батарей, радиаторов, трубопроводов водоснабжения). Эмаль быстро высыхает, обладает высокой укрывающей способностью, превосходно подходит как для окрашивания новых поверхностей, так и для ремонта старых. После высыхания эмаль образует надежное, атмосферостойкое покрытие с высокой твердостью и длительным сроком эксплуатации, способное выдерживать нагревание до +80°С в течение всего срока службы окрашенного элемента системы отопления. Покрытие имеет хорошую сопротивляемость к удару, изгибу и другим механическим воздействиям, устойчиво к кратковременному воздействию воды, теплоносителей на основе этиленгликоля, бытовым моющим средствам. Применение: Во избежание попадания следов аэрозоля рекомендуется защищать поверхности, не подлежащие окраске. Для достижения наилучших результатов эмаль следует наносить при температуре окружающей среды не ниже +10°С. Перед использованием баллон энергично встряхивать в течение 2–3-х минут. Эмаль наносить с расстояния 25–30 см на предварительно обезжиренную, зачищенную и загрунтованную поверхность в 2–3 слоя с промежуточной сушкой 10–15 минут при температуре +20°С. Время сушки «на отлип» при температуре +20°С не менее 1 часа. Время полного высыхания при температуре +20°С 12 часов. Внимание! По окончании работы во избежание засорения головки распылителя перевернуть баллон вверх дном и распылять до тех пор, пока не перестанет поступать эмаль. Важно! Наносить последующие слои ЛКМ необходимо либо не позднее, чем через 2 часа, либо не ранее, чем через 2 недели. Не требует дополнительного покрытия лаком.","{'Тип работ': 'внутренние работы', 'Область применения': 'для жилых и офисных помещений', 'Степень блеска поверхности': 'матовая', 'Способ нанесения': 'вручную', 'Разбавитель (растворитель)': 'алкидный растворитель 2010', 'Тип поверхности': 'металл', 'Колеровка': 'нет', 'Состав,': 'алкидная смола', 'Бренд': 'Kudo', 'Страна производителя': 'РОССИЯ', 'Цвет': 'белая', 'Артикул': 'KU-5102', 'Время полного высыхания (ч)': '12', 'Время высыхания на отлип, (ч)': '1', 'Расход (1 слой), (г/кв.м)': '260', 'Температура применения, (град. C)': '+20', 'Рекомендованное количество слоев покрытия': '2-3'}"
Эмаль ремонтная Kudo KU-7K6101 для ПВХ профиля с кисточкой белая,"['140', '₽', '/шт']","Эмаль ремонтная Kudo для ПВХ профиля с кисточкой белая обладает хорошей укрывистостью и атмосферостойкостью, имеет превосходную адгезию к окрашиваемой поверхности. Высококачественная эмаль предназначена для окраски пластиковых окон, подоконников, кабель-каналов, сайдинга. Не требует предварительного грунтования. Устойчива к механическим воздействиям и истиранию. Эмаль сохраняет эластичность после высыхания, не растрескивается при эксплуатации окрашенного элемента в условиях низких температур. Применение: перед использованием встряхните флакон 2-3 мин. Нанесите кисточкой эмаль на чистый, сухой, обезжиренный и очищенный от грязи дефектный участок поверхности. Время полного высыхания при температуре +20°С — 2 часа.","{'Тип работ': 'внутренние работы\xa0/\xa0наружные работы', 'Область применения': 'для жилых и офисных помещений\xa0/\xa0для ПВХ', 'Степень блеска поверхности': 'полуматовая', 'Способ нанесения': 'кисть', 'Разбавитель (растворитель)': 'не разбавлять', 'Тип поверхности': 'пластик / ПВХ', 'Колеровка': 'нет', 'Состав,': 'акриловый', 'Бренд': 'Kudo', 'Страна производителя': 'РОССИЯ', 'Цвет': 'белый', 'Артикул': 'KU-7K6101', 'Время полного высыхания (ч)': '2', 'Время высыхания на отлип, (ч)': '0.17-0.25', 'Расход (1 слой), (г/кв.м)': '0.01м2/один флакон', 'Температура применения, (град. C)': 'от +10', 'Рекомендованное количество слоев покрытия': '2-3'}"
